Ημέρα,Χρονική Περίοδος,Μαθήματα
Μέρα 1,9-12,Γραµµική Άλγεβρα
Μέρα 1,12-3,Αρχές Γλωσσών Προγραµµατισµού
Μέρα 1,3-6,Πιθανότητες και στοιχεία Στατιστικής
Μέρα 2,9-12,Γραφικά Ι 
Μέρα 2,12-3,Αντικειµενοστραφής Προγραµµατισµός
Μέρα 2,3-6,Αλγοριθµική Επιχειρησιακή Έρευνα
Μέρα 3,9-12,Ανάλυση ΙΙ
Μέρα 3,12-3,Εφαρμοσμένα Μαθηματικά
Μέρα 3,3-6,Προηγµένα Θέµατα Αλγορίθµων
Μέρα 4,9-12,Λειτουργικά Συστήµατα
Μέρα 4,12-3,Εργαστήριο Κυκλωμάτων και Συστημάτων
Μέρα 4,3-6,Ειδικά Θέματα Θεωρητικής Πληροφορικής: Αλγόριθμοι Δομικής Βιοπληροφορικής
Μέρα 5,9-12,Σήµατα και Συστήµατα
Μέρα 5,12-3,Τεχνητή Νοηµοσύνη (ΤΟ ΚΑΛΥΤΕΡΟ!!!!)
Μέρα 5,3-6,Αλγόριθμοι Βιοπληροφορικής
Μέρα 6,9-12,Σχεδίαση Ψηφιακών Συστηµάτων -VHDL
Μέρα 6,12-3,Προηγμένοι Επιστημονικοί Υπολογισμοί
Μέρα 6,3-6,Διακριτά Μαθηµατικά
Μέρα 7,9-12,Αριθµητική Ανάλυση
Μέρα 7,12-3,Υπολογιστική Πολυπλοκότητα
Μέρα 7,3-6,Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες
Μέρα 8,9-12,Τηλεπικοινωνιακά Δίκτυα 
Μέρα 8,12-3,Ανάπτυξη Λογισµικού για Αλγοριθμικά Προβλήματα
Μέρα 8,3-6,Λογική Σχεδίαση
Μέρα 9,9-12,Υλοποίηση Συστημάτων Βάσεων Δεδομένων
Μέρα 9,12-3,Ανάπτυξη Λογισµικού για Πληροφοριακά Συστήματα
Μέρα 9,3-6,Εισαγωγή στον Προγραµµατισµό
Μέρα 10,9-12,Ψηφιακή Επεξεργασία Σήµατος
Μέρα 10,12-3,Επικοινωνία Ανθρώπου Μηχανής
Μέρα 10,3-6,-
Μέρα 11,9-12,Αρχιτεκτονική Υπολογιστών ΙΙ
Μέρα 11,12-3,ΤΠΕ στη Μάθηση (Πληροφορική κ Εκπαίδευση)
Μέρα 11,3-6,-
Μέρα 12,9-12,Δίκτυα Επικοινωνιών ΙΙ
Μέρα 12,12-3,Δοµή και Θεσµοί της Ευρωπαϊκής Ένωσης
Μέρα 12,3-6,-
Μέρα 13,9-12,Τεχνητή Νοημοσύνη ΙΙ (ΤΟ ΔΕΥΤΕΡΟ ΚΑΛΥΤΕΡΟ!!!)
Μέρα 13,12-3,-
Μέρα 13,3-6,-
Μέρα 14,9-12,Σχεδίαση VLSI Κυκλωµάτων
Μέρα 14,12-3,-
Μέρα 14,3-6,-
Μέρα 15,9-12,Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος: Ενισχυτική μηχανική μάθηση και στοχαστικά παίγνια
Μέρα 15,12-3,-
Μέρα 15,3-6,-
Μέρα 16,9-12,Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών 
Μέρα 16,12-3,-
Μέρα 16,3-6,-
Μέρα 17,9-12,Συστήματα Πληροφορικής και e-Προσβασιμότητα για μαθητές με αναπηρία 
Μέρα 17,12-3,-
Μέρα 17,3-6,-
